recommendationid,content,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_at_review_min,playtime_forever_min,author_steamid,timestamp_created
214195710,1회차 엔딩기준의 소감 비주얼 / OST / 액션 이것들은 상당히 준수한편이다 해금하여 듣는 음반들은 상당히 묘미가 좋고 한국게임사 답게 잘만든 캐릭터들의 모델링과 기깔난 맵디자인과 인형들로 만든 분위기 기깔나게 만든 전투와 액션성  하지만 1회차기준 전투의 밸런스와 레밸디자인 그리고 중요 보스들의 설계가 진짜 좆같음의 경지다 특히 메인보스들의 레밸디자인이 진짜 너무하다  6챕터까지 모든 몬스터들이 퍼펙트가드로 상대가능하게끔 되어있었으나 6챕터 보스에서 갑자기 횡이동을 주입한다 그 전까지의 횡이동공략 몬스터는 인간형 몬스터들이라 뒤잡에 약한 명확한 공략이 있으나 그 수가적고  6챕터 보스마냥 공격적이고 도전적인 난이도가 아니에다가 막상 6챕터 보스는 뒤잡이 가능하지않다 더불어서 빠른 연격과 몰아치는 타이밍등으로인해 마치 세키로마냥 연속으로 패링을 해야한다는 강박을준다. 그저 옆으로 빙빙돌면 파훼가 가능함에도. 소울라이크를 많이 해보았다면 괜찮을수도 있지만 단일게임으로 보면 상당히 무서운 난이도일것이다.  또다른 예시로는11챕터 중보스가 있는데 여기까지의 경험상으로는 원거리공격은 회피를 하는게 타당하다는 생각을 가질것이다 가드던 퍼펙트가드던  그저 회피하는게 리스크없이 부담을 지우는 방법이였으니 하지만 이 보스는 특이하게도 원거리공격을 패링해야한다. 정말놀랍게도! 광탄을 패링하면 그대로 보스에게 되돌려주는데 이 기믹은 게임내 그 어어어느곳에도 힌트가 없다. 단!하나도! 없다 기믹의 데미지와 리턴이 상당한만큼 그리고 기믹수행 유무에따라 난이도가 진짜 천차만별로 차이가 나는만큼 이것에대한 설명은 무조건 했어야할거다 그러나 힌트가 없다 그 어디에도 11챕터 게임의 최후반에서 원거리를 패링한다는 발상은 도저히 떠올릴 계기가 없을것이다..  11챕터 마지막보스는 위에서 말한 보스들과는 다른데 위의 보스들은 정보가없고 기믹을 모르더라도 어느정도는 상대해볼 감각이 드는수준의 난이도와 기믹의 리턴값이 좋아 알아내고 파훼하는 성취감이라도 좋은 반면에 11챕 보스 이 새끼는 그냥 쓰레기다 엇박 /광역/장판/원거리광탄/즉사기 이 모든패턴을 가지고있고 그 패턴들간의 연계가 확실치않다 무작위로 발사하는 광탄과 장판기 그속에 들어있는 즉사공간 그리고 그 뒤에서 다가오는 보스의 공격을  전!부! 피하고 막는게 다라고 할수있다. 맞다 이건 쓰레기다 모든패턴을 통틀어서 제대로 때릴만한건 단 한개에 불과하다.  뭐 그래도 게임은 재미있다 액션성은 확실히 차별화되어 유니크하니까 소울라이크에 대가리가 함몰되었다면 필히 해볼것.,1,1,0,0.511945366859436035,1904,1904,76561198133520970,1766706517
214173259,재밋네,1,0,0,0.5,2495,2495,76561198375385729,1766688214
214098350,내 인생 첫 소울라이크. 길치에다 똥손이라 너무 힘들고 머리털 다 빠질 뻔. 필드 몬스터들 너무 그냥 다 찢어버리고 싶었음. 그치만 스토리 좋고 무엇보다 우리 p군이 잘생겨서 다 용서되는 느낌.,1,0,0,0.5,3131,5044,76561198803842153,1766596067
214081706,"스토리 직관적이고, 그래픽, 세계관, 분위기, 음악, DLC까지 모두 훌륭했다.  이것이 한국형 소울!!!",1,0,0,0.5,1706,1706,76561199571430164,1766582218
214057838,"다크소울3 ,세키로,아머드코어6 해보고 피의거짓은 찜 목록에 넣어놓고 세일할때마다 살까말까 살까말까하다가 최근에서야 구매해서 플레이했는데 정말정말 재밌습니다, 난이도 조절이 3단계로 있던데 전설의 스토커가 예전 난이도조절 없을때 난이도라고해서 그걸로 엔딩봤습니다, 보스는 대부분 1트했는데 필드 난이도가 다크소울에 비해서 훨씬 EASY한 편이라 다크소울에 비해 피로감이 훨씬 적은게 큰 장점. 다크소울이랑 비슷하면서도 전혀 다른맛이라 소울류 좋아하면 무조건 구매 추천하는 게임.",1,1,0,0.5,1832,1832,76561199494340781,1766552439
214052095,"흔히 잔혹 동화라는 말을 많이 쓴다. 그렇다고 '잔혹 동화' 자체가 컨셉이 아닌, 등장인물 하나하나에 녹여 있는 동화적인 면모와 모티브.  그것이 게임 특유의 시대상과 컨셉이 맞닿았을 때 보이는 잔혹함.",1,0,0,0.5,1175,1353,76561198155427128,1766545310
214041427,퍼펙트가드를 포기하면 게임이 편해져,1,0,0,0.5,1209,1209,76561198445807474,1766533223
213981874,진짜 스토리도 좋고 게임성도 좋은 게임...   다 좋긴한데 내가 쫄보라 놀라는 순간이 좀 있었다 ㅋㅋ,1,0,0,0.5,1705,2620,76561199443033042,1766477481
213979480,1회차 본편끝내고 dlc를 마쳤다. 스토리? 와.. 누님... 진짜 이쁘고 울뻔햇습니다.  1회차땐 이무기 저무기 좋았지만 역시 그 무기가 날먹 최고였다. 그리고 무기조합? 그런게 왜 필요해. dlc 엔딩때 레아누님이 습사기 무기 하나 던져주는데 이거하나로 3회차 까지 본편 dlc 싹 쓸어담음요.,1,0,0,0.5,6623,7079,76561198836639426,1766474040
213804755,재밌음,1,0,0,0.5,3324,3324,76561198800815815,1766307020
